"Location","Country","Country_work","gender","opinion_fundamental_important","high_priority_fundamental","high_priority_use_inspired","high_priority_applied","high_priority_no_change","available_funding_fundamental","available_funding_use_inspired","available_funding_applied","next_generation"
"Serbia","Serbia","Serbia","Female","Not very important",NA,NA,1,NA,"Will decrease slightly","Will increase considerably","Will increase considerably","Will decrease considerably"
"France","France","France","Male","Somewhat important",NA,1,1,NA,"Will decrease considerably","Can't comment","Can't comment","Will decrease considerably"
"France","France","France","Male","Not at all important",NA,1,1,NA,"Will decrease considerably","Will decrease slightly","Will stay the same","Will decrease considerably"
"France","France","France","Male","Somewhat important",NA,1,1,NA,"Will stay the same","Will increase slightly","Will increase slightly","Will decrease slightly"
"Poland","Poland","Poland","Male","Somewhat important",1,NA,1,NA,"Will stay the same","Will increase considerably","Will increase considerably","Can't comment"
"Belgium","Belgium","Belgium","Male","Somewhat important",NA,NA,NA,1,"Will decrease slightly","Will increase slightly","Will increase slightly","Will stay the same"
"Mexico","Mexico","France","Female","Very important",NA,1,NA,NA,"Will stay the same","Will increase considerably","Will stay the same","Will decrease considerably"
"France","France","France","Male","Very important",NA,1,NA,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Will decrease slightly"
"France","France","France","Male","Not very important",NA,1,1,NA,"Will decrease considerably","Will stay the same","Will stay the same","Will decrease considerably"
"France","France","United States","Male","Very important",NA,1,1,NA,"Will decrease considerably","Will increase slightly","Will increase slightly","Will stay the same"
"Israel","Israel","Israel","Male","Somewhat important",NA,NA,NA,1,"Can't comment","Can't comment","Can't comment","Can't comment"
"Japan","Japan","Japan","Male","Somewhat important",NA,NA,1,NA,"Will decrease considerably","Will increase slightly","Will increase slightly","Will decrease considerably"
"Kenya","Kenya","Kenya","Male","Can't comment",NA,NA,1,NA,"Can't comment","Can't comment","Can't comment","Can't comment"
"Israel","Israel","","Male","Very important",NA,NA,1,NA,"Will stay the same","Will stay the same","Will increase considerably","Will increase slightly"
"Israel","Israel","Israel","Male","Somewhat important",NA,NA,NA,NA,"Will stay the same","Will stay the same","Will increase slightly","Will stay the same"
"Israel","Israel","Israel","Male","Very important",NA,NA,NA,1,"Will stay the same","Can't comment","Can't comment","Will stay the same"
"Israel","Israel","Israel","Male","Very important",NA,NA,1,NA,"Will decrease slightly","Will increase slightly","Will increase slightly","Can't comment"
"Israel","Israel","Israel","Male","Not at all important",NA,NA,1,NA,"Will decrease considerably","Will decrease slightly","Will stay the same","Will increase considerably"
"Israel","Israel","Israel","Male","Very important",NA,NA,1,NA,"Will decrease slightly","Will increase considerably","Will increase considerably","Will decrease slightly"
"Israel","Israel","Israel","Male","Very important",NA,NA,NA,1,"Will decrease slightly","Will increase slightly","Will stay the same","Will increase slightly"
"Israel","Israel","Israel","Male","Very important",NA,NA,1,NA,"Will decrease slightly","Will decrease slightly","Will stay the same","Will decrease slightly"
"Israel","Israel","Israel","Male","Not very important",NA,1,1,NA,"Will decrease slightly","Will stay the same","Can't comment","Will decrease slightly"
"Israel","Israel","Israel","Male","Somewhat important",1,1,NA,NA,"Will stay the same","Will stay the same","Will stay the same","Will stay the same"
"Israel","Israel","Israel","Male","Not very important",NA,NA,1,NA,"Can't comment","Can't comment","Can't comment","Will stay the same"
"Israel","Israel","Israel","Male","Somewhat important",NA,NA,NA,1,"Will decrease slightly","Can't comment","Will increase slightly","Will stay the same"
"Israel","Israel","","Male","Very important",NA,NA,1,NA,"Will stay the same","Will stay the same","Will stay the same","Will stay the same"
"","","Israel","Male","Somewhat important",1,1,NA,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Will increase slightly"
"Israel","Israel","Israel","Male","Very important",NA,NA,NA,1,"Will stay the same","Will stay the same","Will stay the same","Will stay the same"
"Pennsylvania","USA","Israel","Male","Somewhat important",NA,NA,NA,1,"Will stay the same","Will stay the same","Will stay the same","Can't comment"
"Israel","Israel","Israel","Male","Very important",NA,1,NA,NA,"Will stay the same","Will increase slightly","Will stay the same","Will stay the same"
"Israel","Israel","Israel","Male","Not very important",NA,NA,1,NA,"Will decrease slightly","Will increase considerably","Will increase considerably","Will stay the same"
"Israel","Israel","Israel","Male","Not very important",NA,NA,1,NA,"Will decrease considerably","Will increase slightly","Will increase slightly","Will decrease considerably"
"Israel","Israel","Israel","Male","Somewhat important",NA,NA,NA,1,"Can't comment","Can't comment","Can't comment","Will decrease slightly"
"France","France","France","Female","Not very important",NA,1,1,NA,"Can't comment","Can't comment","Can't comment","Can't comment"
"Israel","Israel","Israel","Male","Not very important",NA,NA,1,NA,"Can't comment","Can't comment","Can't comment","Will stay the same"
"Israel","Israel","Israel","Male","Somewhat important",NA,NA,NA,1,"Will stay the same","Will increase considerably","Will increase considerably","Will decrease slightly"
"Israel","Israel","Israel","Male","Somewhat important",NA,NA,NA,1,"Can't comment","Can't comment","Can't comment","Will stay the same"
"United Kingdom","United Kingdom","Australia","Male","Not very important",NA,NA,NA,1,"Will decrease considerably","Can't comment","Will decrease slightly","Can't comment"
"Israel","Israel","Israel","Male","Somewhat important",NA,1,1,NA,"Will decrease slightly","Can't comment","Can't comment","Will decrease slightly"
"Israel","Israel","Israel","Male","Very important",1,NA,1,NA,"Can't comment","Can't comment","Can't comment","Will stay the same"
"Israel","Israel","Israel","Male","Not very important",NA,NA,NA,1,"Will decrease slightly","Can't comment","Can't comment","Will stay the same"
"Israel","Israel","Israel","Male","Very important",NA,NA,NA,1,"Will stay the same","Will stay the same","",""
"California","USA","United States","Male","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will increase considerably","Can't comment"
"","","Australia","Male","Not very important",NA,1,1,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Will decrease slightly"
"Australia","Australia","Australia","Female","Somewhat important",NA,NA,1,NA,"Will decrease considerably","Will decrease slightly","Will stay the same","Will decrease considerably"
"Maryland","USA","United States","Male","Somewhat important",NA,NA,1,NA,"Will stay the same","Will increase slightly","Will increase slightly","Will decrease slightly"
"Israel","Israel","Israel","Male","Somewhat important",NA,NA,NA,1,"Will stay the same","Will stay the same","Will stay the same","Will stay the same"
"Israel","Israel","Israel","Male","Somewhat important",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Will decrease slightly"
"Poland","Poland","Poland","Male","Not very important",NA,1,1,NA,"Will stay the same","Will stay the same","Will stay the same","Will stay the same"
"Israel","Israel","Israel","Male","Somewhat important",NA,NA,1,NA,"Will stay the same","","Will increase considerably","Will decrease slightly"
"Israel","Israel","Israel","Male","Not very important",NA,NA,1,NA,"Can't comment","Can't comment","Can't comment","Will increase considerably"
"Switzerland","Switzerland","Poland","Female","Very important",1,1,1,NA,"Can't comment","Will increase considerably","Will increase considerably","Can't comment"
"Serbia","Serbia","Serbia","Female","Very important",NA,NA,1,NA,"Will decrease considerably","Will stay the same","Will stay the same","Will decrease considerably"
"Israel","Israel","Israel","Male","Very important",NA,NA,1,NA,"Will decrease slightly","Will increase slightly","Will increase considerably","Will decrease slightly"
"France","France","France","Male","Somewhat important",NA,NA,1,NA,"Will decrease slightly","Will decrease slightly","Will increase slightly","Will decrease slightly"
"","","Israel","Male","Very important",1,NA,1,NA,"Can't comment","Can't comment","Can't comment","Will increase considerably"
"Israel","Israel","Israel","Female","Somewhat important",NA,NA,1,NA,"Will decrease considerably","","Will increase considerably","Can't comment"
"Netherlands","Netherlands","Netherlands","Male","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will increase considerably","Will stay the same"
"Germany","Germany","France","Female","Somewhat important",NA,1,1,NA,"Will decrease considerably","Will decrease slightly","Will increase slightly","Will decrease considerably"
"Serbia","Serbia","Serbia","Female","Not very important",NA,NA,1,NA,"Will decrease considerably","Can't comment","Can't comment","Will decrease slightly"
"Israel","Israel","Israel","Male","Very important",NA,NA,NA,1,"Will stay the same","","Will stay the same","Will stay the same"
"Israel","Israel","Israel","Male","Not very important",NA,1,NA,NA,"Can't comment","Can't comment","Can't comment",""
"France","France","France","Female","Not very important",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will stay the same","Will stay the same"
"Israel","Israel","Israel","Male","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will stay the same","Will increase considerably","Will stay the same"
"Israel","Israel","Israel","Male","Can't comment",NA,NA,1,NA,"Will stay the same","Will increase slightly","Will increase considerably","Will stay the same"
"Israel","Israel","Israel","Female","Somewhat important",1,NA,1,NA,"Can't comment","Can't comment","Can't comment","Can't comment"
"Michigan","USA","United States","Male","Very important",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Will decrease slightly"
"France","France","France","Female","Not at all important",NA,NA,1,NA,"Will decrease considerably","Will decrease slightly","Will stay the same","Will decrease considerably"
"Romania","Romania","Romania","Male","Not at all important",NA,1,1,NA,"Will decrease considerably","Will decrease slightly","Will stay the same","Will decrease slightly"
"British Columbia","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will increase slightly","Will decrease slightly","Will stay the same","Will decrease considerably"
"Israel","Israel","Israel","Male","Somewhat important",NA,NA,1,NA,"Will decrease considerably","Will stay the same","Will increase considerably","Will stay the same"
"Israel","Israel","Israel","Male","Very important",NA,NA,NA,1,"Will stay the same","Will increase slightly","Will increase slightly","Can't comment"
"Switzerland","Switzerland","Israel","Male","Not at all important",NA,NA,NA,1,"Can't comment","","","Will increase slightly"
"Israel","Israel","Israel","Male","Somewhat important",NA,NA,NA,1,"Will increase slightly","Can't comment","Can't comment","Will increase slightly"
"Israel","Israel","Israel","Male","Very important",NA,NA,NA,1,"Will increase slightly","Will increase slightly","Can't comment","Will increase slightly"
"Israel","Israel","Israel","Male","Not at all important",NA,1,1,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Will decrease slightly"
"","","Poland","Female","Somewhat important",NA,1,1,NA,"Will decrease considerably","Will increase slightly","Will increase considerably","Will stay the same"
"California","USA","Israel","Male","Somewhat important",NA,NA,1,NA,"Will stay the same","","Will increase slightly","Will stay the same"
"France","France","Israel","Male","Not very important",NA,NA,1,NA,"Will decrease slightly","Will increase slightly","Will increase considerably","Will decrease slightly"
"Israel","Israel","Israel","Male","Very important",NA,NA,1,NA,"Can't comment","Can't comment","Can't comment","Will increase considerably"
"Israel","Israel","Israel","Male","Somewhat important",NA,NA,1,NA,"Will stay the same","","Will increase slightly","Will decrease slightly"
"Israel","Israel","Israel","Male","Somewhat important",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Will decrease slightly"
